robot_model,movement,cartesian_path,reference_frame,is_relative,velocity,acceleration,desired_x,desired_y,desired_z,desired_roll,desired_pitch,desired_yaw,measured_x,measured_y,measured_z,measured_roll,measured_pitch,measured_yaw
vs060,move_to_pose,True,TOOL,True,100,100,0.504009912799429,0.16473244895031378,0.090365040276778,-3.0701957181725383,1.2496355565286965,-2.033064617491865,0.5039602213633808,0.16472988398071375,0.0903899969860196,-3.070147530560677,1.249600206205433,-2.033140633065163
vs060,move_to_pose,True,TOOL,True,100,100,0.44806486825180225,0.07097846526353725,0.12660329700799533,-3.0701476046207277,1.249600209709495,-2.0331407189873194,0.44802013858837353,0.07103370721548022,0.12659645161193694,-3.0698923679036705,1.2496074940204283,-2.0329325472774014
vs060,move_approach,True,WORLD,False,100,100,0.4816354874337655,0.05139128250125703,0.1266761625123164,-3.068288825006032,1.24965574442794,-2.0315632493214,0.4815570508570947,0.0514564418209172,0.12668662452560955,-3.067999418835462,1.2496445374850138,-2.031403408262814
vs060,move_to_pose,True,TOOL,True,100,100,0.5375031730588389,0.14518157903382845,0.09048423319851259,-3.0679994896854073,1.2496445435348378,-2.031403492566905,0.5374494013168772,0.14516833446636188,0.09049576606200078,-3.0678165248674563,1.2496357620276672,-2.0314693296999757
vs060,move_to_pose,True,TOOL,True,100,100,0.4814789686410702,0.05145785970372113,0.12669906867373376,-3.067816597006195,1.2496357667438929,-2.0314694157439233,0.4814437644729719,0.05149614408480095,0.126696223180509,-3.06762187938041,1.2496424937601682,-2.031302519479183
vs060,move_approach,True,WORLD,False,100,100,0.4653,-0.1623,0.1542,3.141592653589793,0.0,-1.5707963267948963,0.4651310793256585,-0.16227788869847654,0.15418214775571162,-3.141240045045241,-3.507262646225673e-05,-1.5707527466917732
vs060,move_to_pose,True,TOOL,True,100,100,0.46517152723267835,-0.16228190976423437,0.03918235437958184,-3.141240096277501,-3.511835289946931e-05,-1.5707527465499969,0.46513693714408705,-0.1622697922538987,0.03919042522643107,-3.141210873542325,-4.5274655236916774e-05,-1.57075276909041
vs060,move_to_pose,True,TOOL,True,100,100,0.46509303221294973,-0.16226458758132115,0.1541904167275976,-3.1412108735423256,-4.527465523609053e-05,-1.5707527690904097,0.46473559768041134,-0.1621398564362504,0.15408368446400703,-3.1408925661985596,-0.00015631135218151782,-1.5707528261651116
vs060,move_approach,True,WORLD,False,100,100,0.4714,-0.1378,0.1542,3.141592653589793,0.0,-1.5707963267948963,0.4713961035792516,-0.13781469137888766,0.15417996296438904,3.141496943547086,6.587124713804475e-05,-1.5707773011110404
vs060,move_to_pose,True,TOOL,True,100,100,0.47138499366408826,-0.13780711019370478,0.03918016004515677,3.1414968918122006,6.582594523946605e-05,-1.570777300990798,0.47136455957148315,-0.1378011263989265,0.039176337364880354,3.1415093751891114,6.219844192031709e-05,-1.570777301821671
vs060,move_to_pose,True,TOOL,True,100,100,0.4713741367236318,-0.1378082790375148,0.15417633674365405,3.141509375189114,6.219844191953907e-05,-1.5707773018216717,0.47112879906544736,-0.13773655182663014,0.15413097144163063,-3.1412791699514906,-5.382814862906537e-05,-1.570777310658894
vs060,move_approach,True,WORLD,False,100,100,0.4533,-0.1775,0.1542,3.141592653589793,0.0,-1.5707963267948963,0.4533712535410489,-0.1775305628460443,0.1542153017291661,3.141508825825227,3.7809556528989244e-05,-1.570797050054703
vs060,move_to_pose,True,TOOL,True,100,100,0.45336151274719266,-0.17752620138892639,0.03921549828295168,3.1415087750642536,3.776413723699775e-05,-1.5707970499083348,0.45335128345299225,-0.17752217897268746,0.03921477772915119,3.141531410456958,2.8938449501146062e-05,-1.570797049561693
vs060,move_to_pose,True,TOOL,True,100,100,0.4533584013101047,-0.17752552358908855,0.15421454621667757,3.1415314596914783,2.8972774825487336e-05,-1.570797049755937,0.45316756989493184,-0.17745080107616773,0.15423303456450843,-3.1410284644275523,-0.00021593561800175472,-1.570797109941535
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.31,3.141592653589793,0,-1.5707963267948966,0.2582735587308359,0.1356180108161822,0.30997411895944016,-3.141542357249445,0.0007011727143610367,-1.570528075414207
vs060,move_to_pose,True,WORLD,True,100,100,0.2582735587308354,0.13561801081618244,0.00997411895944017,-3.1415423572494467,0.0007011727143621669,-1.570528075414208,0.25838633136746486,0.1356822683797667,0.010159412170052229,3.1414511818271773,0.0005552053777991522,-1.5705328405343075
